[ INFO ] [2016-05-23 09:13:17] com.lifeix.football.competitions.Application [25] - org.springframework.boot.context.event.ApplicationEnvironmentPreparedEvent[source=org.springframework.boot.SpringApplication@57404558]
[ DEBUG] [2016-05-23 09:13:17] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@50277c73]
[ INFO ] [2016-05-23 09:13:17] com.lifeix.football.competitions.Application [48] - Starting Application on gcc with PID 11384 (E:\workspaces\chinafootball\lifeix-football-competitions\target\classes started by hasee-pc in E:\workspaces\chinafootball\lifeix-football-competitions)
[ INFO ] [2016-05-23 09:13:17] com.lifeix.football.competitions.Application [670] - The following profiles are active: common,system,dev
[ INFO ] [2016-05-23 09:13:17] com.lifeix.football.competitions.Application [25] - org.springframework.boot.context.event.ApplicationPreparedEvent[source=org.springframework.boot.SpringApplication@57404558]
[ INFO ] [2016-05-23 09:13:17] org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext [578] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1c830be1: startup date [Mon May 23 09:13:17 CST 2016]; root of context hierarchy
[ DEBUG] [2016-05-23 09:13:17] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[ DEBUG] [2016-05-23 09:13:17] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[ DEBUG] [2016-05-23 09:13:17] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-23 09:13:17] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[ DEBUG] [2016-05-23 09:13:17] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-23 09:13:18] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
